brand,sales,price,boston,date,addv,bd1,bd2,bd3,bd4,bd5,bd6,bd7,bd8,bd9,bd10,bd11,bd12,bd13,bd14,bd15,bd16,bd17,bd18,bd19,bd20,bd21,bd22,bd23,bd24,bd25,dd1,dd2,dd3,dd4,dd5,dd6,dd7,dd8,dd9,dd10,dd11,dd12,dd13,dd14,dd15,dd16,dd17,dd18,dd19,dd20,y,qavgp,p_SF,p_BS,p_rSF,p_rNE,sfdum
1004,1447779,0.090378717,1,921,7.123532772,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-3.010230541,0.091089852,0.106658548,0.090378717,0.107818916,0.090912066,0
1004,1146005,0.117366314,0,903,6.434097767,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-3.556374788,0.104283661,0.117366314,0.110433191,0.115476578,0.106578961,1
1004,1500161,0.111656331,1,893,5.381173134,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.801505327,0.103811726,0.124421209,0.111656331,0.121052362,0.105772875,0
1004,1112250,0.116926163,0,883,6.687539101,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.445509911,0.103260331,0.116926163,0.106715731,0.113209657,0.102429271,1
1004,1272804,0.107709989,1,891,6.448833942,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.904402971,0.102887593,0.124967292,0.107709989,0.119394928,0.104093194,0
1004,1091478,0.124205507,0,894,5.064787865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-3.56951952,0.104752563,0.124205507,0.108688474,0.118832141,0.103545725,1
1004,1118243,0.09956035,1,882,5.959407806,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.134230852,0.098244146,0.111804888,0.09956035,0.111293495,0.09868288,0
1004,1107004,0.119762138,0,901,6.526842117,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-3.540892839,0.104023829,0.119762138,0.112338789,0.117005304,0.105590396,1
1004,1282887,0.103228599,0,923,7.126878262,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-3.417370558,0.099349938,0.103228599,0.086721219,0.104395717,0.08853779,1
1004,1014463.813,0.106673025,0,924,6.882678509,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.742865086,0.100221328,0.106673025,0.101078346,0.107885785,0.101211794,1
