"","Возраст","Пол","Напиток"
"212",34.5,1,"Вино"
"213",51,1,"Пиво"
"214",51,1,"Водка"
"215",47,1,"Пиво"
"216",53.5,1,"Водка"
"217",54,1,"Водка"
"218",66.5,1,"Пиво"
"219",66.5,1,"Коньяк или виски"
"220",46,1,"Пиво"
"221",46,1,"Водка"
"222",45.5,1,"Пиво"
"223",45.5,1,"Водка"
"224",45.5,1,"Самогон"
"225",68,1,"Самогон"
"226",40.5,2,"Пиво"
"227",76,2,"Вино"
"228",49.5,1,"Самогон"
"229",76.5,2,"Водка"
"230",71.5,2,"Пиво"
"231",71.5,1,"Пиво"
"232",66,2,"Вино"
"233",68.5,1,"Водка"
"234",67.5,2,"Водка"
"235",68.5,1,"Пиво"
"236",68,1,"Пиво"
"237",68,1,"Водка"
"238",41.5,2,"Пиво"
"239",74.5,1,"Вино"
"240",63,1,"Пиво"
"241",63,1,"Водка"
"242",78.5,2,"Пиво"
"243",41,2,"Водка"
"244",47,1,"Пиво"
"245",69.5,2,"Коньяк или виски"
"246",63.5,1,"Водка"
"247",49,2,"Коньяк или виски"
"248",50.5,1,"Водка"
"249",53.5,2,"Водка"
"250",35,1,"Водка"
"251",52.5,2,"Водка"
"252",55,1,"Пиво"
"253",55,1,"Водка"
"254",52,1,"Пиво"
"255",50,2,"Пиво"
"256",29.5,1,"Пиво"
"257",43.5,1,"Пиво"
"258",43.5,1,"Водка"
"259",75,2,"Коньяк или виски"
"260",75,2,"Вино"
"261",57.5,2,"Пиво"
"262",36.5,2,"Пиво"
"263",36.5,2,"Коньяк или виски"
"264",59,1,"Пиво"
"265",59,1,"Водка"
"266",56.5,2,"Пиво"
"267",56.5,2,"Водка"
"268",56.5,2,"Мартини или вермут"
"269",47.5,2,"Коктейли"
"270",47.5,2,"Водка"
"271",47,1,"Водка"
"272",81.5,1,"Вино"
"273",75,2,"Вино"
"274",67,1,"Водка"
"275",63.5,1,"Пиво"
"276",63.5,1,"Коньяк или виски"
"277",52.5,1,"Пиво"
"278",53,2,"Пиво"
"279",57,1,"Пиво"
"280",57,1,"Водка"
"281",58,1,"Коньяк или виски"
"282",52.5,1,"Пиво"
"283",52.5,1,"Водка"
"284",52.5,1,"Самогон"
"285",57.5,1,"Пиво"
"286",57.5,1,"Водка"
"287",55.5,2,"Мартини или вермут"
"288",58,1,"Мартини или вермут"
"289",64.5,1,"Пиво"
"290",69.5,1,"Самогон"
"291",32,1,"Водка"
"292",57.5,1,"Самогон"
"293",62.5,2,"Вино"
"294",39,2,"Пиво"
"295",32,1,"Водка"
"296",32,1,"Самогон"
"297",42,1,"Пиво"
"298",59,1,"Водка"
"299",60.5,2,"Вино"
"300",31.5,1,"Водка"
"301",63.5,2,"Вино"
"302",68,1,"Вино"
"303",65,1,"Пиво"
"304",65,1,"Водка"
"305",38,1,"Пиво"
"306",38,1,"Водка"
"307",76.5,2,"Пиво"
"308",76.5,2,"Водка"
"309",54.5,2,"Пиво"
"310",54.5,2,"Водка"
"311",34,2,"Пиво"
"312",69,1,"Водка"
"313",32.5,2,"Коктейли"
"314",63.5,1,"Пиво"
"315",63.5,1,"Водка"
"316",63.5,1,"Самогон"
"317",39.5,1,"Пиво"
"318",39.5,1,"Водка"
"319",39.5,1,"Самогон"
"320",36.5,1,"Пиво"
"321",62.5,1,"Водка"
"322",62,1,"Водка"
"323",65.5,1,"Пиво"
"324",65.5,1,"Водка"
"325",61,1,"Водка"
"326",70.5,2,"Самогон"
"327",70.5,2,"Вино"
"328",35,2,"Вино"
"329",46.5,2,"Коньяк или виски"
"330",60,2,"Пиво"
"331",60,2,"Водка"
"332",85,2,"Вино"
"333",55.5,1,"Пиво"
"334",55.5,1,"Самогон"
"335",55.5,1,"Вино"
"336",55.5,1,"Мартини или вермут"
"337",55,2,"Пиво"
"338",55,2,"Вино"
"339",47,2,"Коньяк или виски"
"340",80,2,"Водка"
"341",77.5,1,"Водка"
"342",73.5,2,"Вино"
"343",62,2,"Пиво"
"344",62,2,"Коньяк или виски"
"345",63,1,"Пиво"
"346",63,1,"Водка"
"347",73,2,"Коньяк или виски"
"348",46,2,"Пиво"
"349",63,2,"Водка"
"350",49.5,2,"Пиво"
"351",81.5,1,"Водка"
"352",50,2,"Коньяк или виски"
"353",63.5,1,"Водка"
"354",38.5,2,"Водка"
"355",66.5,2,"Водка"
"356",44.5,1,"Пиво"
"357",44.5,1,"Водка"
"358",35.5,1,"Пиво"
"359",35.5,1,"Коньяк или виски"
"360",35.5,1,"Водка"
"361",44.5,2,"Водка"
"362",65,2,"Вино"
"363",51.5,2,"Водка"
"364",61.5,1,"Пиво"
"365",44.5,2,"Водка"
"366",40.5,1,"Пиво"
"367",40.5,1,"Водка"
"368",69.5,2,"Коньяк или виски"
"369",41,1,"Водка"
"370",35.5,1,"Водка"
"371",57,1,"Пиво"
"372",50.5,2,"Коньяк или виски"
"373",53.5,1,"Пиво"
"374",53.5,1,"Водка"
"375",49,1,"Водка"
"376",49,1,"Самогон"
"377",35.5,1,"Пиво"
"378",35.5,1,"Водка"
"379",54.5,2,"Пиво"
"380",54.5,2,"Водка"
"381",35,2,"Пиво"
"382",35,2,"Водка"
"383",50.5,2,"Вино"
"384",48.5,1,"Пиво"
"385",48.5,1,"Водка"
"386",49.5,1,"Пиво"
"387",49.5,1,"Самогон"
"388",57,2,"Коньяк или виски"
"389",49,1,"Водка"
"390",68.5,2,"Самогон"
"391",58,2,"Пиво"
"392",72.5,2,"Пиво"
"393",72.5,2,"Водка"
"394",72.5,2,"Мартини или вермут"
"395",43,1,"Пиво"
"396",37,2,"Пиво"
"397",39,1,"Пиво"
"398",52.5,1,"Коньяк или виски"
"399",67.5,1,"Водка"
"400",67.5,1,"Самогон"
"401",36,1,"Пиво"
"402",36,1,"Водка"
"403",36,1,"Вино"
"404",56,1,"Пиво"
"405",56,1,"Водка"
"406",29,1,"Пиво"
"407",29,1,"Водка"
"408",63.5,2,"Пиво"
"409",63.5,2,"Водка"
"410",49,2,"Пиво"
"411",49,2,"Водка"
"412",48.5,1,"Водка"
"413",29,1,"Пиво"
"414",29,1,"Водка"
"415",63,2,"Водка"
"416",72,2,"Пиво"
"417",59.5,1,"Пиво"
"418",59.5,1,"Водка"
"419",67,2,"Пиво"
"420",67,2,"Вино"
"421",47.5,2,"Пиво"
"422",47.5,2,"Мартини или вермут"
"423",52,1,"Пиво"
"424",52,1,"Мартини или вермут"
"425",65.5,1,"Пиво"
"426",65.5,1,"Вино"
"427",51,1,"Пиво"
"428",51,1,"Водка"
"429",63,1,"Пиво"
"430",63,1,"Водка"
"431",47,1,"Пиво"
"432",47,1,"Водка"
"433",61,1,"Водка"
"434",61,1,"Самогон"
"435",59.5,1,"Водка"
"436",47.5,1,"Коньяк или виски"
"437",48.5,2,"Мартини или вермут"
"438",27.5,1,"Пиво"
"439",50.5,2,"Самогон"
