"","Возраст","Пол","Напиток"
"907",20.5,1,"Мартини или вермут"
"908",65.5,1,"Пиво"
"909",49,1,"Пиво"
"910",49,1,"Водка"
"911",20,1,"Пиво"
"912",40.5,2,"Пиво"
"913",50,2,"Пиво"
"914",50,2,"Мартини или вермут"
"915",31,2,"Коктейли"
"916",72.5,1,"Водка"
"917",36,2,"Пиво"
"918",20.5,2,"Коктейли"
"919",60,1,"Вино"
"920",54.5,1,"Пиво"
"921",54.5,1,"Водка"
"922",32.5,1,"Пиво"
"923",64.5,2,"Пиво"
"924",57,1,"Пиво"
"925",57,1,"Водка"
"926",30.5,1,"Пиво"
"927",21.5,1,"Пиво"
"928",85.5,2,"Мартини или вермут"
"929",76.5,2,"Вино"
"930",77,1,"Мартини или вермут"
"931",43.5,2,"Пиво"
"932",63.5,1,"Коктейли"
"933",63.5,1,"Пиво"
"934",63.5,1,"Коньяк или виски"
"935",63.5,1,"Водка"
"936",63.5,1,"Самогон"
"937",63.5,1,"Вино"
"938",63.5,1,"Мартини или вермут"
"939",62.5,2,"Коктейли"
"940",62.5,2,"Коньяк или виски"
"941",62.5,2,"Водка"
"942",62.5,2,"Самогон"
"943",42.5,1,"Пиво"
"944",42.5,1,"Водка"
"945",40.5,1,"Пиво"
"946",40.5,1,"Водка"
"947",57,2,"Водка"
"948",70,1,"Пиво"
"949",56,2,"Коктейли"
"950",56,2,"Пиво"
"951",56,2,"Коньяк или виски"
"952",56,2,"Водка"
"953",56,2,"Самогон"
"954",56,2,"Вино"
"955",56,2,"Мартини или вермут"
"956",58.5,2,"Водка"
"957",28.5,1,"Пиво"
"958",39.5,2,"Пиво"
"959",39.5,2,"Мартини или вермут"
"960",44,1,"Пиво"
"961",65.5,2,"Пиво"
"962",65.5,2,"Мартини или вермут"
"963",42,2,"Пиво"
"964",42,2,"Мартини или вермут"
"965",20.5,2,"Пиво"
"966",19,2,"Пиво"
"967",67.5,1,"Пиво"
"968",64.5,2,"Пиво"
"969",64.5,1,"Пиво"
"970",64.5,1,"Мартини или вермут"
"971",57.5,2,"Водка"
"972",71,2,"Коньяк или виски"
"973",76.5,2,"Коньяк или виски"
"974",68,1,"Коньяк или виски"
"975",68,1,"Водка"
"976",47,1,"Коньяк или виски"
"977",47,1,"Самогон"
"978",75,2,"Водка"
"979",71,1,"Водка"
"980",71,1,"Самогон"
"981",39,1,"Пиво"
"982",39,1,"Водка"
"983",40.5,2,"Пиво"
"984",50,1,"Пиво"
"985",50,1,"Вино"
"986",36,1,"Пиво"
"987",71,2,"Вино"
"988",73.5,1,"Вино"
"989",53,1,"Пиво"
"990",36.5,1,"Пиво"
"991",71.5,1,"Пиво"
"992",71.5,1,"Самогон"
"993",37,2,"Пиво"
"994",37,2,"Самогон"
"995",55.5,1,"Пиво"
"996",55.5,1,"Самогон"
"997",51,2,"Пиво"
"998",64,2,"Коньяк или виски"
"999",63,2,"Пиво"
"1000",63,2,"Коньяк или виски"
"1001",38,1,"Пиво"
"1002",53,2,"Коньяк или виски"
"1003",22.5,2,"Коктейли"
"1004",22.5,2,"Пиво"
"1005",50,1,"Пиво"
"1006",50,1,"Самогон"
"1007",50,1,"Вино"
"1008",55,2,"Пиво"
"1009",55,2,"Водка"
"1010",49,1,"Пиво"
"1011",48,1,"Пиво"
"1012",24,1,"Пиво"
"1013",44.5,1,"Пиво"
"1014",44,1,"Пиво"
"1015",44,1,"Водка"
"1016",51,1,"Водка"
"1017",72,2,"Мартини или вермут"
"1018",66,1,"Пиво"
"1019",50.5,1,"Коньяк или виски"
"1020",61,1,"Водка"
"1021",71,2,"Коньяк или виски"
"1022",71,2,"Водка"
"1023",72.5,1,"Водка"
"1024",61,2,"Водка"
"1025",88,1,"Пиво"
"1026",88,1,"Водка"
"1027",67.5,2,"Пиво"
"1028",67.5,2,"Коньяк или виски"
"1029",39,1,"Пиво"
"1030",64.5,1,"Мартини или вермут"
"1031",31,1,"Водка"
"1032",72.5,2,"Водка"
"1033",64.5,2,"Коньяк или виски"
"1034",34.5,2,"Коньяк или виски"
"1035",34.5,2,"Вино"
"1036",62.5,2,"Коньяк или виски"
"1037",66.5,1,"Коньяк или виски"
"1038",66.5,1,"Водка"
"1039",37,2,"Пиво"
"1040",65.5,1,"Пиво"
"1041",65.5,1,"Водка"
"1042",69,2,"Водка"
"1043",62,2,"Пиво"
"1044",62,2,"Самогон"
"1045",65.5,2,"Водка"
"1046",65.5,1,"Водка"
"1047",60.5,1,"Водка"
"1048",47,1,"Самогон"
"1049",74,1,"Водка"
"1050",58,2,"Вино"
"1051",50.5,1,"Пиво"
"1052",50.5,1,"Водка"
"1053",48.5,1,"Водка"
"1054",86,2,"Самогон"
"1055",46.5,1,"Пиво"
"1056",40.5,2,"Пиво"
"1057",66,2,"Пиво"
"1058",51.5,1,"Пиво"
"1059",51.5,1,"Водка"
"1060",51.5,1,"Вино"
"1061",19.5,2,"Коньяк или виски"
"1062",63,2,"Пиво"
"1063",36,1,"Пиво"
"1064",60,1,"Пиво"
"1065",36.5,1,"Пиво"
"1066",36.5,1,"Мартини или вермут"
"1067",64.5,2,"Мартини или вермут"
"1068",72,2,"Мартини или вермут"
"1069",34.5,1,"Пиво"
"1070",34.5,1,"Коньяк или виски"
"1071",61.5,2,"Мартини или вермут"
"1072",63,2,"Пиво"
"1073",66.5,1,"Пиво"
"1074",67,1,"Коньяк или виски"
"1075",67,1,"Водка"
"1076",38.5,2,"Коньяк или виски"
"1077",37,2,"Пиво"
"1078",37,2,"Коньяк или виски"
"1079",48,1,"Водка"
"1080",31.5,2,"Мартини или вермут"
"1081",60.5,2,"Пиво"
"1082",60.5,2,"Самогон"
"1083",65.5,2,"Водка"
"1084",61,1,"Водка"
"1085",29.5,1,"Пиво"
"1086",29.5,1,"Водка"
"1087",35.5,2,"Пиво"
"1088",36.5,1,"Пиво"
"1089",52.5,1,"Коктейли"
"1090",52.5,1,"Коньяк или виски"
"1091",52.5,1,"Водка"
"1092",52.5,1,"Самогон"
"1093",52.5,1,"Мартини или вермут"
"1094",36,1,"Самогон"
"1095",43.5,1,"Пиво"
"1096",43.5,1,"Водка"
"1097",70,1,"Пиво"
"1098",70,1,"Водка"
"1099",64,1,"Пиво"
"1100",54.5,2,"Пиво"
"1101",54.5,2,"Водка"
"1102",42.5,1,"Пиво"
"1103",39,2,"Мартини или вермут"
"1104",49,1,"Пиво"
"1105",49,1,"Коньяк или виски"
"1106",49,1,"Водка"
"1107",54,2,"Коньяк или виски"
"1108",36,1,"Пиво"
"1109",58,1,"Пиво"
"1110",58,1,"Водка"
"1111",69,2,"Самогон"
"1112",47.5,2,"Пиво"
"1113",54,1,"Пиво"
"1114",23.5,1,"Пиво"
"1115",55.5,2,"Пиво"
"1116",35.5,1,"Пиво"
"1117",35.5,1,"Водка"
"1118",40.5,1,"Пиво"
"1119",40.5,1,"Коньяк или виски"
"1120",40.5,1,"Мартини или вермут"
"1121",64,1,"Пиво"
"1122",64,1,"Водка"
"1123",56.5,1,"Пиво"
"1124",56.5,1,"Водка"
"1125",56.5,1,"Самогон"
"1126",45.5,2,"Пиво"
"1127",58.5,1,"Пиво"
"1128",58.5,1,"Коньяк или виски"
"1129",52,1,"Пиво"
"1130",51,1,"Пиво"
"1131",32.5,1,"Пиво"
"1132",49.5,1,"Пиво"
"1133",49.5,1,"Водка"
"1134",30.5,1,"Водка"
"1135",74,1,"Водка"
"1136",74,1,"Самогон"
"1137",53,2,"Самогон"
"1138",26.5,2,"Пиво"
"1139",24.5,1,"Пиво"
"1140",24.5,1,"Коньяк или виски"
"1141",46.5,2,"Пиво"
"1142",38,1,"Пиво"
"1143",41,2,"Водка"
"1144",47.5,2,"Пиво"
"1145",23.5,2,"Пиво"
"1146",23,1,"Пиво"
"1147",23,1,"Мартини или вермут"
"1148",37.5,1,"Пиво"
"1149",67,2,"Мартини или вермут"
"1150",71.5,1,"Вино"
"1151",67.5,2,"Пиво"
"1152",67.5,2,"Водка"
"1153",67.5,2,"Самогон"
"1154",40,2,"Пиво"
"1155",41.5,1,"Пиво"
"1156",41.5,1,"Коньяк или виски"
"1157",50,1,"Пиво"
"1158",50,1,"Водка"
"1159",26,1,"Пиво"
"1160",35.5,2,"Коньяк или виски"
"1161",39,1,"Пиво"
"1162",77,1,"Пиво"
"1163",77,1,"Водка"
"1164",33.5,2,"Пиво"
"1165",33.5,2,"Мартини или вермут"
"1166",49.5,2,"Пиво"
"1167",49.5,2,"Мартини или вермут"
"1168",60.5,1,"Водка"
"1169",67,1,"Пиво"
"1170",67,1,"Водка"
"1171",55,1,"Коньяк или виски"
"1172",71,2,"Вино"
"1173",44.5,1,"Пиво"
"1174",42,2,"Пиво"
"1175",45.5,1,"Пиво"
"1176",45.5,1,"Коньяк или виски"
"1177",45.5,1,"Водка"
"1178",46.5,2,"Пиво"
"1179",54.5,1,"Пиво"
"1180",29,2,"Коктейли"
"1181",53.5,1,"Пиво"
"1182",53.5,1,"Водка"
"1183",40.5,2,"Пиво"
"1184",44,1,"Пиво"
"1185",52,1,"Коньяк или виски"
"1186",52,1,"Водка"
"1187",61,2,"Коньяк или виски"
"1188",77.5,2,"Пиво"
"1189",77.5,2,"Водка"
"1190",49,1,"Пиво"
"1191",49,1,"Водка"
"1192",49,1,"Самогон"
"1193",38,1,"Коньяк или виски"
"1194",38,1,"Водка"
"1195",61.5,1,"Коньяк или виски"
"1196",70.5,2,"Водка"
"1197",35,1,"Пиво"
"1198",35.5,2,"Пиво"
"1199",76.5,1,"Коньяк или виски"
"1200",60,2,"Самогон"
"1201",61,1,"Самогон"
"1202",31.5,1,"Пиво"
"1203",31.5,1,"Водка"
"1204",40.5,1,"Пиво"
"1205",40.5,1,"Водка"
"1206",62,1,"Пиво"
"1207",60.5,1,"Водка"
"1208",37,1,"Пиво"
"1209",37,1,"Водка"
"1210",37,1,"Самогон"
"1211",62,2,"Водка"
"1212",40,1,"Пиво"
"1213",76,1,"Водка"
"1214",76,1,"Самогон"
"1215",70,2,"Водка"
"1216",70,2,"Самогон"
"1217",37.5,2,"Пиво"
"1218",51,1,"Пиво"
"1219",51,1,"Водка"
"1220",46,2,"Пиво"
"1221",46,2,"Вино"
"1222",54,2,"Пиво"
"1223",58.5,1,"Пиво"
"1224",29,1,"Пиво"
"1225",58,1,"Пиво"
"1226",58,1,"Коньяк или виски"
"1227",58,1,"Водка"
"1228",76.5,1,"Самогон"
"1229",43.5,1,"Пиво"
"1230",60.5,1,"Водка"
"1231",39.5,1,"Коньяк или виски"
"1232",41,1,"Пиво"
"1233",51,1,"Пиво"
"1234",66,1,"Пиво"
"1235",66,1,"Коньяк или виски"
"1236",38,1,"Коньяк или виски"
"1237",46,2,"Коктейли"
"1238",46,2,"Пиво"
"1239",46,2,"Водка"
"1240",46,2,"Вино"
"1241",58,1,"Пиво"
"1242",58,1,"Водка"
"1243",58.5,1,"Коньяк или виски"
"1244",58.5,1,"Водка"
"1245",53.5,2,"Мартини или вермут"
"1246",70,2,"Вино"
"1247",77,1,"Вино"
"1248",43,1,"Пиво"
"1249",43,1,"Водка"
"1250",43,1,"Самогон"
"1251",69.5,1,"Самогон"
"1252",70.5,2,"Вино"
"1253",55,1,"Пиво"
"1254",55,1,"Водка"
"1255",33,1,"Пиво"
"1256",33,1,"Коньяк или виски"
"1257",57,1,"Пиво"
"1258",23,1,"Пиво"
"1259",57.5,1,"Пиво"
"1260",56,1,"Коньяк или виски"
"1261",53.5,1,"Пиво"
"1262",53.5,1,"Водка"
"1263",34.5,1,"Пиво"
"1264",58,2,"Пиво"
"1265",62.5,1,"Водка"
"1266",60.5,1,"Коньяк или виски"
"1267",44.5,2,"Пиво"
"1268",44.5,2,"Коньяк или виски"
"1269",44.5,2,"Водка"
"1270",44.5,2,"Вино"
"1271",41.5,1,"Пиво"
"1272",41.5,1,"Коньяк или виски"
"1273",41.5,1,"Водка"
"1274",20.5,1,"Пиво"
"1275",20.5,1,"Водка"
"1276",36.5,2,"Пиво"
"1277",36.5,2,"Мартини или вермут"
"1278",66.5,2,"Коньяк или виски"
"1279",39,1,"Пиво"
"1280",39,1,"Водка"
"1281",38.5,2,"Пиво"
"1282",49.5,1,"Коньяк или виски"
"1283",49.5,1,"Водка"
"1284",51,2,"Коньяк или виски"
"1285",56,1,"Водка"
"1286",18,1,"Пиво"
"1287",48.5,1,"Пиво"
"1288",48.5,1,"Коньяк или виски"
"1289",48.5,1,"Водка"
"1290",61.5,1,"Пиво"
"1291",61.5,1,"Водка"
"1292",39,1,"Пиво"
"1293",40.5,2,"Пиво"
"1294",48.5,1,"Пиво"
"1295",64.5,1,"Водка"
"1296",64.5,1,"Вино"
"1297",24.5,1,"Пиво"
"1298",24.5,1,"Коньяк или виски"
"1299",24.5,1,"Водка"
"1300",76.5,2,"Водка"
"1301",77,1,"Водка"
"1302",53.5,1,"Водка"
"1303",36,2,"Мартини или вермут"
"1304",38.5,1,"Пиво"
"1305",52.5,1,"Коньяк или виски"
"1306",52.5,1,"Водка"
"1307",43.5,1,"Пиво"
"1308",43.5,1,"Водка"
"1309",40,2,"Пиво"
"1310",67,1,"Водка"
"1311",43.5,2,"Вино"
"1312",48,1,"Пиво"
"1313",48,1,"Водка"
"1314",64.5,2,"Пиво"
"1315",61,1,"Пиво"
"1316",61,1,"Водка"
"1317",39.5,2,"Пиво"
"1318",33,2,"Пиво"
"1319",51.5,2,"Водка"
"1320",74,1,"Коктейли"
"1321",74,1,"Коньяк или виски"
"1322",74,1,"Водка"
"1323",44.5,2,"Самогон"
"1324",50.5,1,"Пиво"
"1325",50.5,1,"Коньяк или виски"
"1326",52,2,"Пиво"
"1327",47.5,1,"Пиво"
"1328",47.5,1,"Самогон"
"1329",47.5,1,"Вино"
"1330",40.5,2,"Вино"
"1331",41,1,"Пиво"
"1332",26.5,2,"Коктейли"
"1333",26.5,2,"Коньяк или виски"
"1334",26.5,2,"Мартини или вермут"
"1335",44.5,1,"Пиво"
"1336",44.5,1,"Коньяк или виски"
"1337",48,1,"Водка"
"1338",74.5,1,"Водка"
"1339",56.5,1,"Водка"
"1340",34.5,2,"Пиво"
"1341",34.5,2,"Водка"
"1342",55,1,"Самогон"
"1343",45,2,"Водка"
"1344",59.5,2,"Пиво"
"1345",59.5,2,"Вино"
"1346",64.5,1,"Коньяк или виски"
"1347",64.5,1,"Водка"
"1348",64,2,"Коньяк или виски"
"1349",51.5,2,"Водка"
"1350",46.5,1,"Коньяк или виски"
"1351",41,2,"Пиво"
"1352",23,1,"Пиво"
"1353",23,1,"Водка"
"1354",20.5,1,"Пиво"
"1355",59,1,"Пиво"
"1356",68.5,2,"Пиво"
"1357",68.5,1,"Пиво"
"1358",47.5,2,"Пиво"
"1359",47.5,2,"Мартини или вермут"
"1360",58.5,2,"Самогон"
"1361",60.5,1,"Самогон"
"1362",60.5,1,"Пиво"
"1363",60.5,1,"Водка"
"1364",46,2,"Пиво"
"1365",46,2,"Вино"
"1366",51,1,"Пиво"
"1367",51,1,"Водка"
"1368",51,1,"Вино"
"1369",41,1,"Коктейли"
"1370",41,1,"Пиво"
"1371",41,1,"Самогон"
"1372",24.5,1,"Пиво"
"1373",64,2,"Самогон"
"1374",64,2,"Вино"
"1375",48.5,1,"Пиво"
"1376",48.5,1,"Водка"
"1377",42.5,2,"Пиво"
"1378",42.5,2,"Мартини или вермут"
"1379",26,1,"Пиво"
"1380",46,1,"Пиво"
"1381",52.5,1,"Пиво"
"1382",48.5,2,"Пиво"
"1383",53.5,1,"Пиво"
"1384",53.5,1,"Водка"
"1385",33.5,1,"Коньяк или виски"
"1386",25,1,"Пиво"
"1387",25,1,"Водка"
"1388",61.5,1,"Пиво"
"1389",26.5,1,"Пиво"
"1390",26.5,1,"Коньяк или виски"
"1391",26.5,1,"Водка"
"1392",38,1,"Пиво"
"1393",38,1,"Водка"
"1394",71.5,1,"Водка"
"1395",52,1,"Коньяк или виски"
"1396",52,1,"Водка"
"1397",44,1,"Пиво"
"1398",44,1,"Водка"
"1399",32,1,"Коньяк или виски"
"1400",32,1,"Мартини или вермут"
"1401",40.5,1,"Пиво"
"1402",55.5,1,"Пиво"
"1403",55.5,1,"Коньяк или виски"
"1404",76,2,"Коньяк или виски"
"1405",58.5,1,"Водка"
"1406",61.5,2,"Водка"
"1407",39,2,"Пиво"
"1408",40,1,"Пиво"
"1409",43,2,"Пиво"
"1410",59.5,2,"Пиво"
"1411",62.5,2,"Пиво"
"1412",62.5,2,"Самогон"
"1413",65,2,"Пиво"
"1414",67,1,"Водка"
"1415",37,2,"Пиво"
"1416",40.5,1,"Коньяк или виски"
"1417",37,1,"Пиво"
"1418",37,1,"Коньяк или виски"
"1419",37,1,"Водка"
"1420",58.5,1,"Пиво"
"1421",58.5,1,"Коньяк или виски"
"1422",30,1,"Пиво"
"1423",46.5,1,"Пиво"
"1424",49.5,1,"Пиво"
"1425",48,1,"Пиво"
"1426",48,1,"Пиво"
"1427",52.5,1,"Пиво"
"1428",52.5,1,"Водка"
"1429",42.5,1,"Водка"
"1430",57,1,"Водка"
"1431",57,1,"Самогон"
"1432",50.5,2,"Водка"
"1433",50.5,2,"Самогон"
"1434",55,1,"Водка"
"1435",55,1,"Самогон"
"1436",23,2,"Водка"
"1437",23,2,"Самогон"
"1438",52.5,1,"Пиво"
"1439",52.5,1,"Водка"
"1440",51,1,"Водка"
"1441",24,1,"Пиво"
"1442",24,1,"Водка"
"1443",49,1,"Пиво"
"1444",49,1,"Водка"
"1445",57,2,"Самогон"
"1446",57,2,"Вино"
"1447",60.5,1,"Водка"
"1448",60.5,1,"Самогон"
"1449",46.5,1,"Пиво"
"1450",46.5,1,"Самогон"
"1451",54.5,1,"Пиво"
"1452",47,1,"Пиво"
"1453",47,1,"Водка"
"1454",57,1,"Водка"
"1455",65.5,2,"Водка"
"1456",49.5,2,"Коктейли"
"1457",43.5,2,"Пиво"
"1458",43.5,2,"Водка"
"1459",23,1,"Коктейли"
"1460",23,1,"Коньяк или виски"
"1461",20,2,"Коктейли"
"1462",57,1,"Водка"
"1463",29,1,"Пиво"
"1464",53,2,"Пиво"
"1465",69,2,"Пиво"
"1466",69,2,"Самогон"
"1467",44.5,2,"Пиво"
"1468",40,1,"Пиво"
"1469",40,1,"Водка"
"1470",64,1,"Пиво"
"1471",64,1,"Самогон"
"1472",59.5,1,"Пиво"
"1473",59.5,1,"Самогон"
"1474",62,1,"Пиво"
"1475",62,1,"Водка"
"1476",35,1,"Пиво"
"1477",35,1,"Коньяк или виски"
"1478",32.5,2,"Пиво"
"1479",61.5,1,"Пиво"
"1480",32.5,1,"Пиво"
"1481",43,1,"Пиво"
"1482",43,1,"Водка"
"1483",28,1,"Пиво"
"1484",71.5,1,"Водка"
"1485",40,1,"Пиво"
"1486",33,2,"Пиво"
"1487",33,2,"Вино"
"1488",57.5,2,"Мартини или вермут"
"1489",78.5,2,"Мартини или вермут"
"1490",78,1,"Коньяк или виски"
"1491",78,1,"Мартини или вермут"
"1492",62.5,2,"Водка"
"1493",36,2,"Пиво"
"1494",47.5,2,"Пиво"
"1495",54,1,"Самогон"
"1496",49.5,1,"Пиво"
"1497",49.5,1,"Коньяк или виски"
"1498",49.5,1,"Водка"
"1499",47.5,2,"Пиво"
"1500",46,2,"Пиво"
"1501",68.5,1,"Пиво"
"1502",68.5,1,"Водка"
"1503",48.5,2,"Пиво"
"1504",48.5,2,"Коньяк или виски"
"1505",53.5,2,"Пиво"
"1506",53.5,2,"Водка"
"1507",30.5,2,"Пиво"
"1508",46.5,2,"Пиво"
"1509",20.5,2,"Пиво"
"1510",63.5,1,"Пиво"
"1511",21.5,1,"Пиво"
"1512",45,2,"Пиво"
"1513",45,2,"Мартини или вермут"
"1514",50.5,1,"Пиво"
"1515",50.5,1,"Водка"
"1516",43.5,1,"Пиво"
"1517",43.5,1,"Водка"
"1518",53.5,1,"Пиво"
"1519",53.5,1,"Водка"
"1520",44,1,"Пиво"
"1521",62.5,2,"Мартини или вермут"
"1522",58,1,"Самогон"
"1523",63.5,2,"Коньяк или виски"
"1524",63.5,2,"Вино"
"1525",65.5,1,"Пиво"
"1526",65.5,1,"Коньяк или виски"
"1527",65.5,1,"Водка"
"1528",59.5,2,"Водка"
"1529",41.5,2,"Пиво"
"1530",50.5,1,"Пиво"
"1531",50.5,1,"Водка"
"1532",58,1,"Водка"
"1533",44.5,2,"Водка"
"1534",52.5,2,"Пиво"
"1535",52.5,2,"Пиво"
"1536",52.5,2,"Коньяк или виски"
"1537",52.5,2,"Водка"
"1538",64.5,1,"Пиво"
"1539",47.5,1,"Пиво"
"1540",22.5,2,"Мартини или вермут"
"1541",63,2,"Коктейли"
"1542",63,2,"Вино"
"1543",63,2,"Мартини или вермут"
"1544",58,1,"Пиво"
"1545",55,2,"Мартини или вермут"
"1546",57.5,2,"Мартини или вермут"
"1547",56,1,"Пиво"
"1548",59,1,"Пиво"
"1549",59,1,"Водка"
"1550",60.5,2,"Коктейли"
"1551",60.5,2,"Коньяк или виски"
"1552",60.5,1,"Водка"
"1553",38.5,1,"Пиво"
"1554",38.5,1,"Водка"
"1555",35,1,"Пиво"
"1556",66.5,1,"Водка"
"1557",72,1,"Пиво"
"1558",49.5,2,"Коньяк или виски"
"1559",69.5,2,"Пиво"
"1560",69.5,2,"Водка"
"1561",55.5,1,"Самогон"
"1562",67.5,2,"Вино"
"1563",67.5,2,"Мартини или вермут"
"1564",65.5,1,"Коньяк или виски"
"1565",42,2,"Пиво"
"1566",21.5,1,"Пиво"
"1567",53,2,"Пиво"
"1568",53,2,"Коньяк или виски"
"1569",23.5,1,"Коктейли"
"1570",23.5,1,"Пиво"
"1571",23.5,1,"Водка"
"1572",44,2,"Пиво"
"1573",49,1,"Пиво"
"1574",37.5,1,"Пиво"
"1575",65.5,1,"Водка"
"1576",65.5,1,"Самогон"
"1577",36,1,"Пиво"
"1578",36,1,"Водка"
"1579",50,2,"Пиво"
"1580",48,1,"Пиво"
"1581",35.5,1,"Пиво"
"1582",60.5,1,"Водка"
"1583",66,2,"Водка"
"1584",42,1,"Пиво"
"1585",42,1,"Самогон"
"1586",42,1,"Мартини или вермут"
"1587",41,2,"Пиво"
"1588",19.5,2,"Водка"
"1589",19.5,2,"Самогон"
"1590",19.5,2,"Вино"
"1591",60.5,1,"Пиво"
"1592",60.5,1,"Водка"
"1593",60.5,1,"Самогон"
"1594",50.5,2,"Коньяк или виски"
"1595",39.5,2,"Пиво"
"1596",76.5,2,"Водка"
"1597",76.5,2,"Самогон"
"1598",53,1,"Пиво"
"1599",53,1,"Коньяк или виски"
"1600",48,2,"Коньяк или виски"
"1601",29.5,2,"Коньяк или виски"
"1602",22.5,1,"Коньяк или виски"
"1603",57.5,1,"Пиво"
"1604",57.5,1,"Самогон"
"1605",46.5,2,"Коньяк или виски"
"1606",60,1,"Коньяк или виски"
"1607",58,2,"Самогон"
"1608",65.5,1,"Самогон"
"1609",31,1,"Пиво"
"1610",31,1,"Коньяк или виски"
"1611",65.5,2,"Водка"
"1612",45,1,"Пиво"
"1613",43.5,2,"Коктейли"
"1614",43.5,2,"Пиво"
"1615",43.5,2,"Коньяк или виски"
"1616",43.5,2,"Водка"
"1617",43.5,2,"Самогон"
"1618",43.5,2,"Вино"
"1619",43.5,2,"Мартини или вермут"
"1620",50,1,"Пиво"
"1621",50,1,"Самогон"
"1622",44,2,"Пиво"
"1623",24,1,"Пиво"
"1624",24,1,"Водка"
"1625",58,1,"Коньяк или виски"
"1626",37,2,"Пиво"
"1627",37,2,"Самогон"
"1628",82,2,"Пиво"
"1629",45.5,2,"Пиво"
"1630",47,1,"Пиво"
"1631",47,1,"Водка"
"1632",58.5,1,"Пиво"
"1633",58.5,1,"Водка"
"1634",45,2,"Пиво"
"1635",46,1,"Пиво"
"1636",24,2,"Мартини или вермут"
"1637",62,2,"Пиво"
"1638",62,2,"Водка"
"1639",62,2,"Самогон"
"1640",47,2,"Пиво"
"1641",50.5,1,"Пиво"
"1642",50.5,1,"Водка"
"1643",42,2,"Пиво"
"1644",48.5,1,"Пиво"
"1645",48.5,1,"Водка"
"1646",63.5,1,"Самогон"
"1647",46,2,"Пиво"
"1648",46,1,"Пиво"
"1649",68,1,"Пиво"
"1650",54.5,2,"Пиво"
"1651",54.5,1,"Пиво"
"1652",45,2,"Пиво"
"1653",42.5,2,"Водка"
"1654",45.5,1,"Водка"
"1655",50,1,"Коньяк или виски"
"1656",50,1,"Водка"
"1657",51.5,1,"Пиво"
"1658",51.5,1,"Водка"
"1659",51,2,"Водка"
"1660",43.5,2,"Мартини или вермут"
"1661",43.5,1,"Пиво"
"1662",43.5,1,"Мартини или вермут"
"1663",75.5,2,"Пиво"
"1664",56,2,"Пиво"
"1665",56,1,"Коньяк или виски"
"1666",56,1,"Водка"
"1667",31,2,"Мартини или вермут"
"1668",32.5,2,"Пиво"
"1669",32.5,2,"Мартини или вермут"
"1670",41.5,1,"Пиво"
"1671",41.5,1,"Водка"
"1672",51.5,2,"Пиво"
"1673",51.5,2,"Коньяк или виски"
"1674",64,2,"Пиво"
"1675",46,1,"Коньяк или виски"
"1676",46,1,"Мартини или вермут"
"1677",25,2,"Пиво"
"1678",51,2,"Мартини или вермут"
"1679",28.5,1,"Мартини или вермут"
"1680",49.5,1,"Водка"
"1681",39.5,1,"Пиво"
"1682",34,2,"Пиво"
"1683",35,1,"Пиво"
"1684",35,1,"Водка"
"1685",56.5,1,"Пиво"
"1686",56.5,1,"Водка"
"1687",57,2,"Пиво"
"1688",45,1,"Пиво"
"1689",45,1,"Водка"
"1690",45,1,"Вино"
"1691",44,2,"Пиво"
"1692",69.5,1,"Пиво"
"1693",69.5,1,"Водка"
"1694",62,2,"Пиво"
"1695",62,2,"Водка"
"1696",65.5,1,"Пиво"
"1697",57.5,1,"Пиво"
"1698",57.5,1,"Водка"
"1699",66,1,"Пиво"
"1700",66,1,"Водка"
"1701",67.5,2,"Пиво"
"1702",67.5,2,"Водка"
"1703",42.5,1,"Пиво"
"1704",42.5,1,"Водка"
"1705",58,1,"Пиво"
"1706",58,1,"Водка"
"1707",58,1,"Самогон"
"1708",52,1,"Пиво"
"1709",52,1,"Коньяк или виски"
"1710",43.5,2,"Коктейли"
"1711",68,2,"Коньяк или виски"
"1712",44,1,"Пиво"
"1713",44,1,"Коньяк или виски"
"1714",22.5,1,"Пиво"
"1715",67,1,"Водка"
"1716",83,2,"Водка"
"1717",38,2,"Пиво"
"1718",42,1,"Пиво"
"1719",40.5,1,"Пиво"
"1720",27.5,1,"Пиво"
"1721",27.5,1,"Коньяк или виски"
"1722",55,1,"Пиво"
"1723",55,1,"Водка"
"1724",55,1,"Самогон"
"1725",70.5,1,"Пиво"
"1726",70.5,1,"Водка"
"1727",59.5,1,"Пиво"
"1728",59.5,1,"Водка"
"1729",52,1,"Водка"
"1730",41,2,"Пиво"
"1731",41,2,"Мартини или вермут"
"1732",42,1,"Пиво"
"1733",42,1,"Мартини или вермут"
"1734",33.5,1,"Водка"
"1735",54.5,2,"Водка"
"1736",60.5,1,"Самогон"
"1737",52.5,2,"Мартини или вермут"
"1738",61.5,1,"Пиво"
"1739",61.5,1,"Мартини или вермут"
"1740",56.5,2,"Мартини или вермут"
"1741",68,2,"Мартини или вермут"
"1742",49,2,"Пиво"
"1743",49,2,"Самогон"
"1744",54.5,1,"Пиво"
"1745",54.5,1,"Коньяк или виски"
"1746",31,1,"Коньяк или виски"
"1747",54.5,1,"Водка"
"1748",74.5,2,"Мартини или вермут"
"1749",76,1,"Самогон"
"1750",57,2,"Мартини или вермут"
"1751",37,2,"Мартини или вермут"
"1752",46,1,"Пиво"
"1753",40.5,2,"Коктейли"
"1754",45.5,1,"Пиво"
"1755",45.5,1,"Водка"
"1756",45.5,1,"Самогон"
