"","Project.Future.Phase","Country","Region.x","Years","Development.Type.y","Development.Status.y","OPEC.Status","Production.x","Production.y","Breakeven.Band","Commercial.Liquids.Remaining.Reserves..million.barrels.","Operating.Costs","expected","id","cs_prod"
"316","Hadrian North (KC 919)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",10.56371883,10.5637188280336,"<$20",34.99,15.57079669,17.98427017695,316,7287.4664791104
"317","South Santa Cruz (MC 563)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",6.529771254,6.52977125359221,"<$20",12.52,15.64117743,18.06555993165,317,7295.3022046152
"318","PRV Niobrara HZ SHO WY","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",9.422552122,9.42255212229499,"<$20",26.6108838384412,16.0737573637691,18.5651897551533,318,7306.6092671616
"319","WLN Bakken Fort Berthold Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",95.05175157,95.051751566025,"<$20",325.486931334003,16.0818761958671,18.5745670062265,319,7420.6713690456
"320","WLN Three Forks Fort Berthold Hz SHO ND","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",94.00387734,94.0038773354859,"<$20",259.218413110678,16.0818761958671,18.5745670062265,320,7533.4760218536
"321","Kaikias (MC 768)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",43.69626186,43.69626185552,"<$20",91.94,16.1473207399999,18.6501554546999,321,7585.9115360856
"322","Barataria (MC 521)","US (GoM Deepwater)","North America",2020,"Deepwater","Onstream","Non-OPEC",4.256443484,4.25644348382307,"<$20",4.98,16.202125225,18.713454634875,322,7591.0192682664
"323","DJU Niobrara Chalk Bluffs Hz SHO CO","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",3.775285208,3.77528520754319,"<$20",11.2314890536954,16.2092142699169,18.721642481754,323,7595.549610516
"324","DJU Niobrara Chalk Bluffs Hz SHO WY","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",25.69211349,25.6921134944725,"<$20",62.7262519499128,16.2092142699169,18.721642481754,324,7626.380146704
"325","GFC Eagle Ford Black Oil Atascosa SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",29.90069239,29.9006923923458,"<$20",87.1348674895044,16.3308175544951,18.8620942754418,325,7662.260977572
"326","GFC Eagle Ford Black Oil Dimmit SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",23.03544503,23.0354450277169,"<$20",54.1669135644444,16.3308175544951,18.8620942754418,326,7689.903511608
"327","GFC Eagle Ford Black Oil Frio SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",15.29621353,15.2962135278646,"<$20",42.4497648038669,16.3308175544951,18.8620942754418,327,7708.258967844
"328","GFC Eagle Ford Black Oil La Salle SHO TX","US (Lower 48)","North America",2020,"Tight Oil","Onstream","Non-OPEC",108.1900792,108.190079160251,"<$20",295.58058103829,16.3308175544951,18.8620942754418,328,7838.087062884
